deleterious	harmful
elaborate	work out carefully; add more detail or information; ADJ.
gaunt	lean and angular; thin and bony; emaciated; barren
comity	courtesy; civility; Ex. comity of nations
terminology	terms used in a science or art; study of nomenclature
satellite	small body revolving around a larger one
mode	prevailing style; current fashion; manner; way of doing something; Ex. in the latest mode; Ex. simple mode of life
flip	send (something) spinning, often into the air, by striking with a light quick blow; turn over; Ex. flip over
demeanor	behavior; bearing
jaunt	trip; short journey
appraise	estimate value of; N. appraisal
relish	enjoy; savor; N: enjoyment; zest
inopportune	untimely; inappropriate or ill-timed; poorly chosen
granulate	form into grains or granules; N. granule: grain or particle
limn	draw; outline; describe; CF. line ?
gratis	free; without charge; ADJ.
cherubic	angelic; innocent-looking; N. cherub; CF. seraph: winged angel of the highest order
brawl	noisy quarrel
seminal	related to seed or semen; germinal; creative; providing a basis for further development; influencing future developments; Ex. seminal research in a new field
ferment	agitation; commotion(noisy and excited activity); unrest (of a political kind); V. produce by fermentation; undergo fermentation; cause (a state of trouble)
spasmodic	fitful; periodic; of or like a spasm; N. spasm: sudden involuntary muscular contraction; sudden burst of energy or emotion
boorish	rude; insensitive
underhand(underhanded)	done slyly and secretly (being dishonest)
grunt	utter a deep guttural sound (as a pig does); N.
corpuscle	red or white cell in the blood
vignette	small drawing placed at the beginning or end of a chapter; picture; short literary sketch; short written description of a character or scene
carcinogenic	causing cancer; N. carcinogen
firebrand	piece of burning wood; hothead; troublemaker; person who stirs up trouble
screech	unpleasant high sharp sound; shriek; V.
discernible	distinguishable; perceivable; Ex. discernible improvement
coiffure	hairstyle
layman	man who is not a cleric; man who is nonprofessional
compendium	brief, comprehensive summary; ADJ. compendious
toady	servile flatterer; yes man; sycophant; V: be a toady to; fawn
clamor	loud continous noise; continuous demand or complaint made by a large number of people; V: make a clamor; express (a demand) continually and loudly; ADJ. clamorous
sheer	pure; thin and transparent; very steep
genus	division of animals or plants, below a family and above a species
fabricate	 build; lie; make up (a story) in order to deceive; Ex. fabricate the whole story; CF. fabric: underlying structure; Ex. fabric of society
topography	physical features of a region (such as the shape and height); CF. topo-: place
querulous	given to complaining; complaining; fretful; whining
amiable	agreeable; lovable; warmly friendly
regent	a person who governs in place of a ruler who is ill, absent, or still a child; ADJ. Ex. the Prince regent
apropos	with reference to; regarding; Ex. remarks apropos (of) the present situation; ADJ. ADV.
presentiment	premonition; foreboding; feeling something will happen; anticipatory fear
irreconcilable	impossible to reconcile; incompatible; not able to be resolved
pugilist	boxer; CF. pugilism: boxing
instigate	start; urge; provoke; incite; Ex. instigate a search/quarrel
bacchanalia	the ancient Roman festival in honor of Bacchus
incidence	rate of occurrence; particular occurrence; Ex. high incidence of infant mortality
commensurate	equal in extent; of the same size
resuscitate	revive; bring back to life or consciousness; Ex. resuscitate the drowned child
dummy	imitation of a real object used as a substitute; effigy
hinterlands	back country; inner part of a country; OP. foreland
scurrilous	abusive; obscene; indecent; Ex. scurrilous remark
reminiscence	recollection; V. reminisce: recollect the past
hindsight	understanding the nature of an event after it has actually happened
dyspeptic	suffering from indigestion; N. dyspepsia: indigestion; difficulty in digesting food
tension	stretching; condition of being stretched; mental strain; strained relationship between groups or people
missile	object to be thrown or projected
cameo	shell or jewel carved in relief; star's special appearance in a minor role in a film
stringent	(of rules) binding; rigid; marked by scarcity of money; Ex. stringent economic conditions
eclipse	darken; extinguish; outshine; surpass; cause an eclipse
sanction	approve; ratify; N: permission; penalty intended to enforce compliance
mealymouthed	indirect in speech (when something unpleasant must be said); hypocritical; evasive
torso	trunk of statue with head and limbs missing; human trunk
detain	keep waiting; prevent from leaving or going; N. detention
ultimatum	last demand; last warning; last statement of conditions that must be met; Ex. They have ignored our ultimatum.
volley	simultaneous discharge of a number of shots; V.
abhor	detest; hate
injurious	harmful; causing injury
monotheism	belief in one God
canard	unfounded false rumor; exaggerated false report
lumen	unit of light energy (one candle's worth)
stoke	stir up a fire or furnace; feed plentifully
synchronous	similarly timed; simultaneous with; occurring at the same time; V. synchronize
intimidate	frighten; N. intimidation
quisling	traitor who aids invaders; CF. Vidkun Quisling
kindle	start a fire; ignite; inspire; arouse
dupe	someone easily fooled or deceived; V: deceive
incendiary	arsonist; ADJ: causing fire; of arson; Ex. incendiary bomb
choir	group of people who sing together (esp. during religious services); place for choir
nihilist	one who considers traditional beliefs to be groundless and existence meaningless; absolute skeptic; revolutionary terrorist; CF. nihilism: belief that nothing has meaning or value; belief that destruction of existing political or social institutio
miscreant	wretch; wrongdoer; villain; Ex. kindness to the miscreant; CF. believe
agitate	stir up; disturb
doldrums	blues; listlessness(lack of spirit or energy); slack(inactive) period; period of stagnation; ocean area near the equator where ships cannot move because there is no wind; Ex. in the doldrums
embryonic	undeveloped; rudimentary; N. embryo: organism in the early stage of development
humility	humbleness of spirit
abstain	refrain; withhold from participation; intentionally not use one's vote;
provincial	pertaining to a province; limited in outlook; narrow; unsophisticated
fodder	coarse food for cattle, horses, etc.; feed for livestock; CF. food
tract	propaganda pamphlet (esp. by a religious or political group); expanse of land; region of indefinite size; system of related organs; Ex. digestive tract
eddy	swirling current of water, air, etc.; V.
fashion	give shape to; make; Ex. fashion the pot out of clay
disinter	dig up; unearth; OP. inter
purported	alleged; claimed; reputed or rumored; Ex. purported Satanists
accommodate	oblige or help someone; adjust or bring into harmony; adapt; make enough space for; ADJ. accommodative; CF. accomodating: helpful and obliging
genuflect	bend the knee as in worship
stagnant	(of water) not flowing (often bad-smelling); motionless; stale; not developing; inactive; dull; Ex. stagnant industrial output
profane	violate; desecrate (something holy); treat unworthily; be profane for; ADJ: secular; nonreligious; irreverent for holy things
regiment	military unit; V: subject to strict order; Ex. regimented society
lopsided	heavier or larger on one side than the other; Ex. lopsided way of walking
disapprobation	disapproval; condemnation
factitious	artificial; produced artificially; sham; false; Ex. factitious tears
gamut	entire range
rapture	great joy and delight; ecstasy; ADJ. rapturous
flaunt	display ostentatiously; Ex. ``Honey, if you've got it, flaunt it !''
ubiquitous	 being everywhere; omnipresent; N. ubiquity
onerous	burdensome
temerity	boldness; nerve; rashness; Ex. temerity to ask for a pay increase after only three day's work
graze	(of an animal) feed on growing grass; cause (an animal) to feed on grass; scrape (esp. the skin) or touch lightly in passing; brush; Ex. We can't graze the cattle till summer; N: surface wound
shunt	move (a railway train) from one track to another; turn aside; divert; sidetrack; Ex. shunt traffic around an accident; N.
imbibe	drink in
misogynist	hater of woman; CF. misogyny
ascendancy	controlling influence; position of controlling influence; CF. in the ascendant
enervate	weaken; take away energy from
apogee	highest point; the point farthest from the earth; OP. perigee
